# SOCIOCULTURE Phase 2C final decisions (457 candidates)
# columns: qid	decision(KEEP|DROP)	adaptation(NONE|LIGHT|SUBSTANTIAL)	codes(, blank=candidate codes)	required_content(; blank=previous)	content_relevance_reason	adaptation_note	drop_reasons(,)	review_flags(,)
2007_JUNE_Q15	KEEP	LIGHT			국제결혼 초혼·재혼 통계 해석이 다문화 사회 현황 자료 분석	계산 단순화		
2007_JUNE_Q18	KEEP	NONE			출생률·사망률·고령화 도달 시기 자료로 탐구 가능한 주제 판단이 인구 문제 탐구			
2007_SEPTEMBER_Q03	DROP	SUBSTANTIAL			정답 조합이 문화 융합·간접 전파·하위문화의 개념 매칭으로 전파 유형·하위문화 분류가 필요	세 개념 중 두 개가 사문 분류	SOCIOCULTURE_CLASSIFICATION	BOUNDARY_KEEP_DROP
2007_SEPTEMBER_Q05	KEEP	LIGHT			세계 도시 형성과 고숙련직·도시 빈곤층 양극화, 외국인 노동자 거주지 형성이 세계화의 양상과 문제	구조적 이동·과잉 도시화 보기 교체		BOUNDARY_KEEP_DROP
2007_SEPTEMBER_Q10	KEEP	NONE			교역 물품 전파가 친족 결속·경제적 불평등에 다차원적 영향을 준 문화 변동 사례			
2007_SEPTEMBER_Q11	KEEP	NONE			도시·농촌 유소년·노년 부양비 추이 해석이 인구 구조 분석			
2007_SEPTEMBER_Q14	KEEP	NONE			극단적 문화 상대주의를 보편 가치로 비판하는 논거 선택이 문화 상대주의와 보편 윤리와 일치			
2007_SEPTEMBER_Q17	KEEP	NONE			인터넷 채팅의 쌍방향 교류·언어 표현 변화가 정보화에 따른 생활양식 변화			
2007_SEPTEMBER_Q18	DROP	SUBSTANTIAL			정답이 갈등론 관점에서 빈곤을 본 진술 판별로 사회학 이론 적용이 핵심	관점 이론 없이 성립하지 않음	SOCIOCULTURE_THEORY	BOUNDARY_KEEP_DROP
2007_SEPTEMBER_Q19	KEEP	LIGHT			복지를 보편적 권리로 보는 유형과 자선으로 보는 유형의 구분이 사회 복지 제도의 이념 이해	모델 도식 단순화		CURRICULUM_DEPTH
2007_SEPTEMBER_Q20	KEEP	NONE			노령화 지수·노년 부양비와 노인 복지 지원 비교가 인구 구조와 노인 복지			
2008_CSAT_Q01	KEEP	NONE			지역 축제의 외연 확대와 주민 의견 반영 방안이 지역사회 문제 해결			
2008_CSAT_Q04	DROP	SUBSTANTIAL			정답이 비교론적 관점의 특징 판별로 문화 이해의 사문 관점 분류가 핵심	관점 분류 없이 성립하지 않음	SOCIOCULTURE_CLASSIFICATION	
2008_CSAT_Q08	KEEP	LIGHT			60세 이상 연금·기초 생활 보장 수급 현황 해석이 사회 보험·공공 부조 제도 자료 분석	비율 계산 단순화		
2008_CSAT_Q12	KEEP	LIGHT			조선족의 중국 문화 수용과 민족 정체성 유지가 문화 접변 속 병존 양상	하위문화 보기를 문화 병존 등 양상 보기로 교체		BOUNDARY_KEEP_DROP
2008_CSAT_Q15	KEEP	NONE			인터넷 과다 사용·사이버 비방·정보 검색 능력 조사 결과가 정보화 문제와 정보 격차			
2008_CSAT_Q19	KEEP	NONE			낙후 지역 차등 지원 정책과 지역 반응(역차별 인식)이 지역 격차 완화 정책			
2008_JUNE_Q06	KEEP	LIGHT			1차 산업 비율·부양비·인간관계 지표로 도시화 정도를 비교하는 지역 변화 자료 분석	선지 표현 조정		
2008_JUNE_Q11	KEEP	LIGHT			도시 순전입 인구의 수도권 집중 자료 해석이 도시화와 공간 불평등	계산 단순화		
2008_JUNE_Q19	KEEP	LIGHT			계층별 지역 개발 방식 선호(형평성·효율성, 상향·하향식)가 지역 개발 정책 쟁점	도식 해석 단순화		
2008_SEPTEMBER_Q03	KEEP	NONE			계층별 정규·비정규 일자리 증감 자료가 노동 시장 양극화와 사회 계층 양극화 분석			
2008_SEPTEMBER_Q06	KEEP	LIGHT			도시·농촌 절대·상대 빈곤율과 도시화율 추이 해석이 빈곤·불평등과 도시화 자료 분석	계산 단순화		
2008_SEPTEMBER_Q07	KEEP	NONE			사회 보장 제도별 소득 재분배 방향과 수급 자격이 사회 복지 제도와 일치			
2008_SEPTEMBER_Q09	KEEP	LIGHT			농업·산업·탈산업 사회의 직업 구조와 생활양식 특징 비교가 산업화·정보화에 따른 변화	사회 유형 비유 설명 단순화		BOUNDARY_KEEP_DROP
2008_SEPTEMBER_Q11	KEEP	LIGHT			호적부에서 가족관계등록부로의 전환이 개인 사생활 보호·개인 존중으로 변화(정답 ㄴ,ㄹ)한 인권 확장 사례	가족 기능 보기 교체		
2008_SEPTEMBER_Q16	KEEP	NONE			거점 개발·대규모 관광 개발의 문제와 주민 의사 반영 개발이 지역사회 문제 해결			
2008_SEPTEMBER_Q17	KEEP	LIGHT			성 차이가 사회·문화적으로 형성되고 강화된다는 입장 판단이 성 불평등의 원인 이해	보기 표현 조정		BOUNDARY_KEEP_DROP,CURRICULUM_DEPTH
2008_SEPTEMBER_Q18	KEEP	LIGHT			온라인 동호회를 통한 소통이 오프라인 주민 교류를 활성화하는 정보화와 지역 공동체 변화	하위문화·사회 집단 보기 교체		BOUNDARY_KEEP_DROP,OCR_UNCERTAIN
2008_SEPTEMBER_Q19	KEEP	NONE			다문화 가정 외국인 배우자의 자녀 교육·편견·문화 차이 조사 결과가 다문화 사회 현황			
2009_CSAT_Q02	KEEP	NONE			쿠바·자바·나이지리아 사례의 문화 동화·융합·병존 분류가 문화 변동 양상과 일치			
2009_CSAT_Q03	KEEP	LIGHT			학력별 정보화 영향(편리성·사생활 침해) 인식 조사 해석이 정보화의 영향과 문제	비율 계산 단순화		
2009_CSAT_Q05	KEEP	NONE			세시 풍속과 민간 신앙의 변화로 전통문화가 외래 요소를 가미하며 변동함을 이해			
2009_CSAT_Q09	KEEP	LIGHT			거점 개발의 특징(파급 효과 확산)이 지역 개발과 지역 격차 이해	개발 방식 명칭 설명 보강		
2009_CSAT_Q11	KEEP	LIGHT			노후 준비와 노부모 부양 책임 인식 조사가 고령화 대응과 인구 문제 인식 자료	계산 단순화		
2009_CSAT_Q17	KEEP	LIGHT			사회 복지 제도별 적용 인구·재정 자료 해석과 사회 보험·공공 부조 판별이 복지 제도 내용	계산 단순화		
2009_CSAT_Q18	DROP	SUBSTANTIAL			농촌 산업화 사례이나 정답이 '문화를 구성 요소 간 관계 속에서 파악'하는 총체론적 관점 판별	정답을 산업화 영향으로 새로 구성해야 함	SOCIOCULTURE_CLASSIFICATION,REQUIRES_SUBSTANTIAL_REWRITE	BOUNDARY_KEEP_DROP
2009_CSAT_Q19	KEEP	LIGHT			도시와 농촌의 유대감·이질성·이동성 비교가 도시화에 따른 생활양식(도시성) 변화	채점 과제 형식 단순화		
2009_JUNE_Q04	KEEP	LIGHT			처가 근처 거주·노인 딩크족 사례의 개인주의 가치관 확산이 산업화·도시화에 따른 생활양식 변화	가족 범위 선지 조정		BOUNDARY_KEEP_DROP
2009_JUNE_Q14	KEEP	LIGHT			거점·균형·광역 개발 방식 주장 비교가 지역 격차 완화 정책 쟁점	선지 표현 조정		
2009_JUNE_Q15	KEEP	LIGHT			노인 거주 형태(자녀 동거 여부) 변화 자료가 고령화와 노인 부양 문제	계산 단순화		
2009_JUNE_Q17	KEEP	LIGHT			농촌과 도시의 인구 밀도·노령화 지수·유대감 비교가 도시화에 따른 지역 변화	기호 개수 형식 단순화		
2009_SEPTEMBER_Q05	DROP	SUBSTANTIAL			정답이 발명·발견·직접·간접·자극 전파 분류도에 사례를 대응시키는 문화 변동 요인 분류	양상 중심으로 전면 재구성 필요	SOCIOCULTURE_CLASSIFICATION	
2009_SEPTEMBER_Q06	KEEP	LIGHT			도시·농촌 노인의 경제·건강 문제와 생활비 마련 방법 조사가 고령화 문제 자료	계산 단순화		
2009_SEPTEMBER_Q07	KEEP	NONE			생태 환경의 질을 고려한 지역 개발과 주민 만족도가 지속가능한 지역 개발과 일치			
2009_SEPTEMBER_Q09	KEEP	LIGHT			한·미 응원 문화를 우열 없이 비교해 특수성을 파악하는 태도 판단이 문화 이해 태도	비교 관점 용어 단순화		
2009_SEPTEMBER_Q11	KEEP	LIGHT			귀촌 부부의 무료 진료·문화 공간 개방이 농촌 공동체 회복과 지역사회 참여	직업 이질성 보기 교체		BOUNDARY_KEEP_DROP,OCR_UNCERTAIN
2009_SEPTEMBER_Q13	KEEP	NONE			사회 보험과 공공 부조의 소득 재분배 효과·재정 의존도·가입 성격 비교가 복지 제도와 일치			
2009_SEPTEMBER_Q17	KEEP	LIGHT			인터넷 언어 확산과 쌍방향 소통, 대중의 정보 생산 가능성이 정보화에 따른 생활양식 변화	하위문화 선지 교체		
2010_CSAT_Q02	KEEP	LIGHT			경제 합리성 개념이 없는 부족 사회의 분배 방식 추론이 합리적 선택의 의미와 한계, 다양한 경제생활 방식 비교와 연결	발문을 합리적 선택 관점 비교로 조정		BOUNDARY_KEEP_DROP,CURRICULUM_DEPTH
2010_CSAT_Q07	KEEP	LIGHT			커피 전래와 확산이 문화 접변과 외래문화 수용의 사례	직접·자극 전파 보기를 문화 변동 양상 보기로 교체		
2010_CSAT_Q08	KEEP	LIGHT			전통·산업·정보 사회의 가족 유형 다양성·생산 기능 변화가 산업화·정보화에 따른 생활양식 변화	가족 기능 용어 단순화		BOUNDARY_KEEP_DROP
2010_CSAT_Q09	KEEP	NONE			장애인·노인 소득 보장 제도의 대상·재원·급여 비교로 공공 부조·사회 보험 판별			
2010_CSAT_Q11	DROP	SUBSTANTIAL			정답이 잡지·인터넷 카페·TV·블로그 매체별 특성(정보 생산 참여 가능성) 비교로 매체 분류가 핵심	정보화 소재이나 매체 유형 분류 단원	SOCIOCULTURE_CLASSIFICATION	
2010_CSAT_Q13	KEEP	LIGHT			두 지역 개발 방식의 효율성·형평성·지방자치 적합성 비교가 지역 개발과 지역 격차	그림 해석 보강		OCR_UNCERTAIN
2010_CSAT_Q16	KEEP	NONE			도시·농촌 특징 가설과 검증 자료 선택이 도시화·인구 구조 탐구 설계(예시 13번 유형)			
2010_JUNE_Q02	KEEP	LIGHT			지역별 개발 방식 선호(주민 의견 수렴·집중 개발) 조사 해석이 지역 개발 정책 쟁점	계산 단순화		
2010_JUNE_Q07	KEEP	NONE			지역 문화 자원과 연계한 개발 원리가 지역사회 발전 방안과 일치			
2010_JUNE_Q15	KEEP	LIGHT			다문화 가정 자녀의 이중 정체성과 친구들의 이해 부족이 다문화 사회와 문화 다양성 존중	국적·사회화 보기 조정		
2010_JUNE_Q16	KEEP	LIGHT			정답(ㄱ,ㄷ)이 이주민 교육 체계 미흡·문화 교류 부족이라는 다문화 갈등 요인으로 다문화 갈등 해결과 직접 연결	기능론(유기체) 전제 문장만 제거		BOUNDARY_KEEP_DROP
2010_JUNE_Q19	KEEP	LIGHT			도시와 농촌의 계층화·동질성·공식 통제 비교가 도시화에 따른 생활양식 변화	과제 형식 단순화		
2010_SEPTEMBER_Q02	KEEP	NONE			다문화 가구 비율과 시급한 해결 과제(편견 없애기 등) 조사가 다문화 사회 현황과 갈등 해결			
2010_SEPTEMBER_Q03	KEEP	LIGHT			숫자 8 선호를 중국어 발음과 사회적 맥락에서 이해하는 문화 상대주의적 이해	보기 표현 조정		
2010_SEPTEMBER_Q04	KEEP	NONE			인터넷 실명제와 추천·신고 제도로 익명성 폐해를 줄이는 방안이 정보화 문제 해결			
2010_SEPTEMBER_Q05	KEEP	LIGHT			하층의 탱고가 전파를 거쳐 국가 전통 춤이 된 과정이 문화 변동과 전통문화 형성	하위문화 보기 교체		BOUNDARY_KEEP_DROP
2010_SEPTEMBER_Q10	KEEP	LIGHT			퉁구스족의 교역을 통한 철기 기술 수용과 새로운 생활양식 형성(문화 융합)이 문화 변동 양상	자극 전파 보기 교체		BOUNDARY_KEEP_DROP
2010_SEPTEMBER_Q11	KEEP	NONE			긴급 생계 지원 제도의 대상·재원(정부 전액 부담)이 공공 부조와 사회 안전망			
2010_SEPTEMBER_Q14	KEEP	LIGHT			40대의 부모 부양·본인 노후 책임 인식 변화로 가족의 노인 부양 기능 약화를 추론하는 고령화 문제	역할 갈등 선지 교체		
2010_SEPTEMBER_Q15	KEEP	LIGHT			IPTV의 양방향성과 맞춤 채널이 가져올 사회 변화 추론이 정보화에 따른 생활양식 변화	차별적 사회화 표현 조정		BOUNDARY_KEEP_DROP
2010_SEPTEMBER_Q19	KEEP	NONE			정보화를 활용한 농촌 마을의 체험·직거래 발전이 정보화와 지역사회 변화			
2011_CSAT_Q06	KEEP	NONE			다문화주의에 따른 정책 방향(내국인 다문화 교육) 도출이 다문화 사회 갈등 해결과 일치			
2011_CSAT_Q07	KEEP	NONE			자문화 중심주의·문화 상대주의의 한계와 인권 차원의 보편 기준 적용이 보편 윤리 평가와 일치			
2011_CSAT_Q09	KEEP	LIGHT			거점 개발의 확산 효과·집적 이익이 지역 개발과 지역 격차 이해	그림 설명 보강		
2011_CSAT_Q10	KEEP	LIGHT			산업 사회·대중 사회·정보 사회의 생활양식과 생산 방식 비교가 산업화·정보화에 따른 변화	대중 사회 구분 단순화		
2011_CSAT_Q11	KEEP	NONE			공공 부조·사회 보험·근로 장려 세제 비교가 사회 복지 제도와 일치			
2011_CSAT_Q13	KEEP	NONE			정보 사회의 개인 정보 침해와 프라이버시 권리 보호가 정보화 문제와 인권			
2011_CSAT_Q16	KEEP	LIGHT			한 지역이 도시와 농촌으로 분화된 뒤의 비공식 통제·직업 동질성·사회 이동 비교가 도시화에 따른 생활양식 변화	그래프 항목 단순화		
2011_CSAT_Q19	KEEP	LIGHT			서구화를 동경하는 문화 사대주의 경향 판별이 문화 이해 태도	아노미 표현 제거		
2011_CSAT_Q20	KEEP	NONE			지역별 총·유소년·노년 부양비 변화 해석이 인구 구조 분석			
2011_JUNE_Q12	KEEP	LIGHT			균형 개발과 거점 개발의 의사 결정·형평성 비교가 지역 격차 완화 정책	보기 표현 조정		
2011_JUNE_Q16	KEEP	NONE			농촌의 온라인 직거래로 교류 범위가 넓어지는 변화가 정보화에 따른 생활공간 변화			
2011_JUNE_Q19	KEEP	LIGHT			초혼·출산 연령 상승과 육아 휴직 활용 증가가 저출산 관련 인식·행위 변화	가족 기능 선지 교체		
2011_SEPTEMBER_Q04	KEEP	LIGHT			거점 개발과 균형 개발 주장의 효율성·형평성·의사 결정 방식 비교가 지역 격차 완화 정책	보기 표현 조정		
2011_SEPTEMBER_Q08	KEEP	LIGHT			이주민의 문화 정체성을 유지하는 문화 공존 주장이 다문화 사회의 문화 다양성 존중	재사회화·내집단 보기 교체		
2011_SEPTEMBER_Q09	KEEP	NONE			문화의 특수성에도 보편적 인권 가치가 중요하다는 결론이 보편 윤리 차원의 문화 평가			
2011_SEPTEMBER_Q10	KEEP	LIGHT			외국인과의 혼인·이혼 증감률 자료 해석이 다문화 사회 현황 분석	증감률 연쇄 계산 단순화		BOUNDARY_KEEP_DROP
2011_SEPTEMBER_Q11	KEEP	NONE			문화 접변 결과의 융합·병존·동화 사례 대응이 문화 변동 양상과 일치			
2011_SEPTEMBER_Q13	KEEP	NONE			실업 급여 감축·수급자 고용 장려금으로 자활을 강화하는 복지 정책 취지가 사회 복지 제도			
2011_SEPTEMBER_Q14	KEEP	LIGHT			초고속 통신망 확산과 저작권 침해 급증을 문화 지체로 인식하는 정보화 문제	문화 지체 용어 설명 보강		
2011_SEPTEMBER_Q18	KEEP	NONE			원주민 공예·음악이 세계 시장의 상품으로 변하는 세계화 속 전통문화 변화			
2011_SEPTEMBER_Q19	KEEP	LIGHT			도시와 농촌의 가치관·통제 방식·직업 구성 비교가 도시화에 따른 생활양식 변화	그래프 항목 단순화		
2012_CSAT_Q05	KEEP	NONE			문화 우열 인정·외래문화 수용 여부로 자문화 중심주의·문화 사대주의·문화 상대주의를 구분하는 문화 이해 태도			
2012_CSAT_Q06	KEEP	NONE			두 나라 교류 결과의 문화 융합·병존 판별이 문화 변동 양상과 일치			
2012_CSAT_Q07	KEEP	NONE			학문 세분화와 간학문적·총체적 접근 비교가 통합적 관점이 요청되는 이유와 직접 대응			
2012_CSAT_Q10	KEEP	LIGHT			농업·산업·정보 사회의 주요 산업·부가가치 원천·일터와 주거지 통합 비교가 산업화·정보화에 따른 변화	중심 직업군 표 단순화		
